district,destination,aspect,aspect_label,n_negative,n_positive,n_neutral,n_opinions,complaint_rate,confidence,destination_reviews
Matara,Coconut Tree Hill,crowd,Crowding & Noise,10,18,24,28,0.357,ok,238
Matara,Coconut Tree Hill,facilities,Facilities,5,6,7,11,0.455,low,238
Matara,Coconut Tree Hill,roads_access,Roads & Access,23,37,61,60,0.383,ok,238
Matara,Coconut Tree Hill,safety,Safety,8,0,4,8,1.0,low,238
Matara,Coconut Tree Hill,scenery,Scenery & Nature,8,239,26,247,0.032,ok,238
Matara,Dandeniya Wewa,scenery,Scenery & Nature,0,5,0,5,0.0,low,8
Matara,Dondra Head,crowd,Crowding & Noise,0,20,7,20,0.0,ok,123
Matara,Dondra Head,price_value,Price & Value,1,10,2,11,0.091,low,123
Matara,Dondra Head,roads_access,Roads & Access,6,5,26,11,0.545,low,123
Matara,Dondra Head,scenery,Scenery & Nature,2,97,5,99,0.02,ok,123
Matara,Hiriketiya Beach,cleanliness,Cleanliness,4,13,2,17,0.235,ok,137
Matara,Hiriketiya Beach,crowd,Crowding & Noise,6,15,30,21,0.286,ok,137
Matara,Hiriketiya Beach,facilities,Facilities,6,23,20,29,0.207,ok,137
Matara,Hiriketiya Beach,price_value,Price & Value,6,7,13,13,0.462,low,137
Matara,Hiriketiya Beach,roads_access,Roads & Access,3,7,7,10,0.3,low,137
Matara,Hiriketiya Beach,scenery,Scenery & Nature,1,81,5,82,0.012,ok,137
Matara,Hummanaya Blow Hole,cleanliness,Cleanliness,3,3,3,6,0.5,low,165
Matara,Hummanaya Blow Hole,crowd,Crowding & Noise,2,6,9,8,0.25,low,165
Matara,Hummanaya Blow Hole,facilities,Facilities,7,5,19,12,0.583,low,165
Matara,Hummanaya Blow Hole,price_value,Price & Value,13,2,31,15,0.867,ok,165
Matara,Hummanaya Blow Hole,roads_access,Roads & Access,14,12,28,26,0.538,ok,165
Matara,Hummanaya Blow Hole,safety,Safety,5,0,3,5,1.0,low,165
Matara,Hummanaya Blow Hole,scenery,Scenery & Nature,5,105,22,110,0.045,ok,165
Matara,Kirala Kele Sanctuary,scenery,Scenery & Nature,0,9,0,9,0.0,low,11
Matara,Madiha Beach,cleanliness,Cleanliness,2,12,1,14,0.143,low,73
Matara,Madiha Beach,crowd,Crowding & Noise,1,20,8,21,0.048,ok,73
Matara,Madiha Beach,facilities,Facilities,2,13,8,15,0.133,ok,73
Matara,Madiha Beach,price_value,Price & Value,1,4,4,5,0.2,low,73
Matara,Madiha Beach,safety,Safety,7,2,3,9,0.778,low,73
Matara,Madiha Beach,scenery,Scenery & Nature,2,42,1,44,0.045,ok,73
Matara,Matara Beach Park,cleanliness,Cleanliness,3,4,1,7,0.429,low,49
Matara,Matara Beach Park,crowd,Crowding & Noise,0,6,7,6,0.0,low,49
Matara,Matara Beach Park,facilities,Facilities,0,7,3,7,0.0,low,49
Matara,Matara Beach Park,scenery,Scenery & Nature,0,30,1,30,0.0,ok,49
Matara,Matara Bodhiya,crowd,Crowding & Noise,0,31,11,31,0.0,ok,58
Matara,Matara Bodhiya,scenery,Scenery & Nature,0,7,0,7,0.0,low,58
Matara,Matara Fort,scenery,Scenery & Nature,1,16,1,17,0.059,ok,31
Matara,Matara Paravi Duwa Beach,crowd,Crowding & Noise,1,7,0,8,0.125,low,33
Matara,Matara Paravi Duwa Beach,roads_access,Roads & Access,1,7,6,8,0.125,low,33
Matara,Matara Paravi Duwa Beach,scenery,Scenery & Nature,0,26,2,26,0.0,ok,33
Matara,Mirissa Beach,cleanliness,Cleanliness,18,98,2,116,0.155,ok,356
Matara,Mirissa Beach,crowd,Crowding & Noise,24,41,40,65,0.369,ok,356
Matara,Mirissa Beach,facilities,Facilities,25,150,59,175,0.143,ok,356
Matara,Mirissa Beach,price_value,Price & Value,20,35,18,55,0.364,ok,356
Matara,Mirissa Beach,roads_access,Roads & Access,11,27,20,38,0.289,ok,356
Matara,Mirissa Beach,safety,Safety,14,12,10,26,0.538,ok,356
Matara,Mirissa Beach,scenery,Scenery & Nature,2,258,11,260,0.008,ok,356
Matara,Nilwala Crocodile Safari,facilities,Facilities,0,5,0,5,0.0,low,20
Matara,Nilwala Crocodile Safari,roads_access,Roads & Access,0,5,1,5,0.0,low,20
Matara,Nilwala Crocodile Safari,scenery,Scenery & Nature,0,11,2,11,0.0,low,20
Matara,Parewi Duwa Temple,crowd,Crowding & Noise,0,19,5,19,0.0,ok,143
Matara,Parewi Duwa Temple,price_value,Price & Value,8,3,2,11,0.727,low,143
Matara,Parewi Duwa Temple,roads_access,Roads & Access,3,6,27,9,0.333,low,143
Matara,Parewi Duwa Temple,safety,Safety,11,0,2,11,1.0,low,143
Matara,Parewi Duwa Temple,scenery,Scenery & Nature,0,108,1,108,0.0,ok,143
Matara,Parrot Rock,crowd,Crowding & Noise,2,4,2,6,0.333,low,152
Matara,Parrot Rock,facilities,Facilities,2,6,1,8,0.25,low,152
Matara,Parrot Rock,roads_access,Roads & Access,21,39,25,60,0.35,ok,152
Matara,Parrot Rock,safety,Safety,18,4,16,22,0.818,ok,152
Matara,Parrot Rock,scenery,Scenery & Nature,3,140,6,143,0.021,ok,152
Matara,Raja & the Whales,cleanliness,Cleanliness,3,2,0,5,0.6,low,101
Matara,Raja & the Whales,facilities,Facilities,2,39,8,41,0.049,ok,101
Matara,Raja & the Whales,price_value,Price & Value,1,10,7,11,0.091,low,101
Matara,Raja & the Whales,scenery,Scenery & Nature,1,54,3,55,0.018,ok,101
Matara,Sinharaja Forest Reserve,cleanliness,Cleanliness,4,6,10,10,0.4,low,186
Matara,Sinharaja Forest Reserve,crowd,Crowding & Noise,3,11,12,14,0.214,low,186
Matara,Sinharaja Forest Reserve,facilities,Facilities,50,110,151,160,0.312,ok,186
Matara,Sinharaja Forest Reserve,price_value,Price & Value,22,15,40,37,0.595,ok,186
Matara,Sinharaja Forest Reserve,roads_access,Roads & Access,45,108,174,153,0.294,ok,186
Matara,Sinharaja Forest Reserve,safety,Safety,35,18,38,53,0.66,ok,186
Matara,Sinharaja Forest Reserve,scenery,Scenery & Nature,15,221,108,236,0.064,ok,186
Matara,Sk Town Beach,crowd,Crowding & Noise,0,5,0,5,0.0,low,13
Matara,Sk Town Beach,scenery,Scenery & Nature,0,10,0,10,0.0,low,13
Matara,Snake Farm Weligama (Traditional Farm),facilities,Facilities,2,28,10,30,0.067,ok,122
Matara,Snake Farm Weligama (Traditional Farm),price_value,Price & Value,7,2,13,9,0.778,low,122
Matara,Snake Farm Weligama (Traditional Farm),roads_access,Roads & Access,4,14,9,18,0.222,ok,122
Matara,Snake Farm Weligama (Traditional Farm),safety,Safety,15,21,18,36,0.417,ok,122
Matara,Snake Farm Weligama (Traditional Farm),scenery,Scenery & Nature,5,50,4,55,0.091,ok,122
Matara,Star Fort Matara,scenery,Scenery & Nature,0,8,0,8,0.0,low,28
Matara,"TURTLE POINT BATHEEGAMA, DiCKWELLA.",scenery,Scenery & Nature,0,12,2,12,0.0,low,16
Matara,The Palm Rope Swing,price_value,Price & Value,4,2,16,6,0.667,low,24
Matara,The Palm Rope Swing,scenery,Scenery & Nature,0,7,3,7,0.0,low,24
Matara,The Shrine of Our Lady of Matara,crowd,Crowding & Noise,0,26,1,26,0.0,ok,63
Matara,The Shrine of Our Lady of Matara,scenery,Scenery & Nature,0,36,0,36,0.0,ok,63
Matara,Turtle Bay Activity Center,cleanliness,Cleanliness,3,6,1,9,0.333,low,40
Matara,Turtle Bay Activity Center,facilities,Facilities,1,7,2,8,0.125,low,40
Matara,Turtle Bay Activity Center,price_value,Price & Value,2,3,1,5,0.4,low,40
Matara,Turtle Bay Activity Center,scenery,Scenery & Nature,1,20,0,21,0.048,ok,40
Matara,Weherahena Poorwarama Rajamaha Viharaya,crowd,Crowding & Noise,1,28,4,29,0.034,ok,86
Matara,Weherahena Poorwarama Rajamaha Viharaya,roads_access,Roads & Access,0,11,12,11,0.0,low,86
Matara,Weherahena Poorwarama Rajamaha Viharaya,scenery,Scenery & Nature,1,48,0,49,0.02,ok,86
Matara,Weligama Beach (surf spot),cleanliness,Cleanliness,7,2,0,9,0.778,low,54
Matara,Weligama Beach (surf spot),crowd,Crowding & Noise,1,4,3,5,0.2,low,54
Matara,Weligama Beach (surf spot),facilities,Facilities,0,10,6,10,0.0,low,54
Matara,Weligama Beach (surf spot),scenery,Scenery & Nature,0,23,1,23,0.0,ok,54
Matara,Wewurukannala Buduraja Maha Viharaya,cleanliness,Cleanliness,6,0,1,6,1.0,low,87
Matara,Wewurukannala Buduraja Maha Viharaya,crowd,Crowding & Noise,1,17,6,18,0.056,ok,87
Matara,Wewurukannala Buduraja Maha Viharaya,facilities,Facilities,7,4,5,11,0.636,low,87
Matara,Wewurukannala Buduraja Maha Viharaya,price_value,Price & Value,12,3,14,15,0.8,ok,87
Matara,Wewurukannala Buduraja Maha Viharaya,roads_access,Roads & Access,1,4,10,5,0.2,low,87
Matara,Wewurukannala Buduraja Maha Viharaya,safety,Safety,5,0,2,5,1.0,low,87
Matara,Wewurukannala Buduraja Maha Viharaya,scenery,Scenery & Nature,4,43,3,47,0.085,ok,87
Nuwara Eliya,Ambewela Farms,cleanliness,Cleanliness,17,7,3,24,0.708,ok,99
Nuwara Eliya,Ambewela Farms,facilities,Facilities,15,13,19,28,0.536,ok,99
Nuwara Eliya,Ambewela Farms,price_value,Price & Value,18,7,15,25,0.72,ok,99
Nuwara Eliya,Ambewela Farms,roads_access,Roads & Access,7,21,10,28,0.25,ok,99
Nuwara Eliya,Ambewela Farms,scenery,Scenery & Nature,1,84,8,85,0.012,ok,99
Nuwara Eliya,Baker's Falls,price_value,Price & Value,3,2,7,5,0.6,low,68
Nuwara Eliya,Baker's Falls,roads_access,Roads & Access,6,34,46,40,0.15,ok,68
Nuwara Eliya,Baker's Falls,safety,Safety,3,4,1,7,0.429,low,68
Nuwara Eliya,Baker's Falls,scenery,Scenery & Nature,4,70,26,74,0.054,ok,68
Nuwara Eliya,Bluefield Tea Gardens,cleanliness,Cleanliness,0,22,2,22,0.0,ok,253
Nuwara Eliya,Bluefield Tea Gardens,crowd,Crowding & Noise,2,8,8,10,0.2,low,253
Nuwara Eliya,Bluefield Tea Gardens,facilities,Facilities,23,206,137,229,0.1,ok,253
Nuwara Eliya,Bluefield Tea Gardens,price_value,Price & Value,29,73,72,102,0.284,ok,253
Nuwara Eliya,Bluefield Tea Gardens,roads_access,Roads & Access,2,27,23,29,0.069,ok,253
Nuwara Eliya,Bluefield Tea Gardens,scenery,Scenery & Nature,5,65,11,70,0.071,ok,253
Nuwara Eliya,"Christ Church Warleigh, Dickoya",scenery,Scenery & Nature,0,5,0,5,0.0,low,6
Nuwara Eliya,Damro Labookellie Tea Centre and Tea Garden,cleanliness,Cleanliness,4,4,1,8,0.5,low,72
Nuwara Eliya,Damro Labookellie Tea Centre and Tea Garden,crowd,Crowding & Noise,5,0,4,5,1.0,low,72
Nuwara Eliya,Damro Labookellie Tea Centre and Tea Garden,facilities,Facilities,9,42,26,51,0.176,ok,72
Nuwara Eliya,Damro Labookellie Tea Centre and Tea Garden,price_value,Price & Value,12,19,28,31,0.387,ok,72
Nuwara Eliya,Damro Labookellie Tea Centre and Tea Garden,roads_access,Roads & Access,0,6,17,6,0.0,low,72
Nuwara Eliya,Damro Labookellie Tea Centre and Tea Garden,scenery,Scenery & Nature,0,38,3,38,0.0,ok,72
Nuwara Eliya,Devon Falls,facilities,Facilities,1,4,13,5,0.2,low,193
Nuwara Eliya,Devon Falls,roads_access,Roads & Access,7,42,73,49,0.143,ok,193
Nuwara Eliya,Devon Falls,safety,Safety,5,3,6,8,0.625,low,193
Nuwara Eliya,Devon Falls,scenery,Scenery & Nature,5,154,82,159,0.031,ok,193
Nuwara Eliya,Devon Waterfall view point,roads_access,Roads & Access,2,18,19,20,0.1,ok,98
Nuwara Eliya,Devon Waterfall view point,scenery,Scenery & Nature,5,80,24,85,0.059,ok,98
Nuwara Eliya,Galpotha Natural water slide,scenery,Scenery & Nature,0,6,1,6,0.0,low,6
Nuwara Eliya,Gartmore Falls,cleanliness,Cleanliness,3,4,2,7,0.429,low,142
Nuwara Eliya,Gartmore Falls,crowd,Crowding & Noise,1,7,2,8,0.125,low,142
Nuwara Eliya,Gartmore Falls,roads_access,Roads & Access,12,20,47,32,0.375,ok,142
Nuwara Eliya,Gartmore Falls,scenery,Scenery & Nature,5,116,45,121,0.041,ok,142
Nuwara Eliya,Gregory Lake,cleanliness,Cleanliness,33,35,5,68,0.485,ok,216
Nuwara Eliya,Gregory Lake,crowd,Crowding & Noise,6,15,15,21,0.286,ok,216
Nuwara Eliya,Gregory Lake,facilities,Facilities,11,35,37,46,0.239,ok,216
Nuwara Eliya,Gregory Lake,price_value,Price & Value,35,24,78,59,0.593,ok,216
Nuwara Eliya,Gregory Lake,roads_access,Roads & Access,10,29,59,39,0.256,ok,216
Nuwara Eliya,Gregory Lake,safety,Safety,7,0,2,7,1.0,low,216
Nuwara Eliya,Gregory Lake,scenery,Scenery & Nature,4,147,9,151,0.026,ok,216
Nuwara Eliya,Hakgala Botanic Gardens,cleanliness,Cleanliness,20,16,9,36,0.556,ok,199
Nuwara Eliya,Hakgala Botanic Gardens,crowd,Crowding & Noise,3,27,10,30,0.1,ok,199
Nuwara Eliya,Hakgala Botanic Gardens,facilities,Facilities,20,16,32,36,0.556,ok,199
Nuwara Eliya,Hakgala Botanic Gardens,price_value,Price & Value,50,16,71,66,0.758,ok,199
Nuwara Eliya,Hakgala Botanic Gardens,roads_access,Roads & Access,11,25,42,36,0.306,ok,199
Nuwara Eliya,Hakgala Botanic Gardens,safety,Safety,6,2,10,8,0.75,low,199
Nuwara Eliya,Hakgala Botanic Gardens,scenery,Scenery & Nature,4,164,16,168,0.024,ok,199
Nuwara Eliya,Hatton Siripada view point,scenery,Scenery & Nature,0,5,2,5,0.0,low,7
Nuwara Eliya,Horton Plains National Park,cleanliness,Cleanliness,51,46,65,97,0.526,ok,930
Nuwara Eliya,Horton Plains National Park,crowd,Crowding & Noise,17,51,44,68,0.25,ok,930
Nuwara Eliya,Horton Plains National Park,facilities,Facilities,54,40,122,94,0.574,ok,930
Nuwara Eliya,Horton Plains National Park,price_value,Price & Value,101,31,93,132,0.765,ok,930
Nuwara Eliya,Horton Plains National Park,roads_access,Roads & Access,100,403,382,503,0.199,ok,930
Nuwara Eliya,Horton Plains National Park,safety,Safety,39,15,30,54,0.722,ok,930
Nuwara Eliya,Horton Plains National Park,scenery,Scenery & Nature,45,808,159,853,0.053,ok,930
Nuwara Eliya,Kadiyanlena eco resort,cleanliness,Cleanliness,18,12,5,30,0.6,ok,246
Nuwara Eliya,Kadiyanlena eco resort,crowd,Crowding & Noise,0,16,3,16,0.0,ok,246
Nuwara Eliya,Kadiyanlena eco resort,facilities,Facilities,4,8,3,12,0.333,low,246
Nuwara Eliya,Kadiyanlena eco resort,roads_access,Roads & Access,10,86,77,96,0.104,ok,246
Nuwara Eliya,Kadiyanlena eco resort,safety,Safety,20,4,6,24,0.833,ok,246
Nuwara Eliya,Kadiyanlena eco resort,scenery,Scenery & Nature,8,201,47,209,0.038,ok,246
Nuwara Eliya,Kolapathana waterfall,cleanliness,Cleanliness,8,5,7,13,0.615,low,160
Nuwara Eliya,Kolapathana waterfall,crowd,Crowding & Noise,1,5,3,6,0.167,low,160
Nuwara Eliya,Kolapathana waterfall,facilities,Facilities,3,4,9,7,0.429,low,160
Nuwara Eliya,Kolapathana waterfall,roads_access,Roads & Access,6,47,54,53,0.113,ok,160
Nuwara Eliya,Kolapathana waterfall,scenery,Scenery & Nature,11,133,43,144,0.076,ok,160
Nuwara Eliya,Laxapana waterfall,cleanliness,Cleanliness,1,10,1,11,0.091,low,278
Nuwara Eliya,Laxapana waterfall,crowd,Crowding & Noise,0,6,3,6,0.0,low,278
Nuwara Eliya,Laxapana waterfall,facilities,Facilities,3,2,5,5,0.6,low,278
Nuwara Eliya,Laxapana waterfall,roads_access,Roads & Access,32,48,112,80,0.4,ok,278
Nuwara Eliya,Laxapana waterfall,safety,Safety,38,1,13,39,0.974,ok,278
Nuwara Eliya,Laxapana waterfall,scenery,Scenery & Nature,16,240,70,256,0.062,ok,278
Nuwara Eliya,Lover's Leap Falls,cleanliness,Cleanliness,3,3,6,6,0.5,low,179
Nuwara Eliya,Lover's Leap Falls,crowd,Crowding & Noise,0,13,6,13,0.0,low,179
Nuwara Eliya,Lover's Leap Falls,facilities,Facilities,6,10,24,16,0.375,ok,179
Nuwara Eliya,Lover's Leap Falls,price_value,Price & Value,4,9,17,13,0.308,low,179
Nuwara Eliya,Lover's Leap Falls,roads_access,Roads & Access,40,124,167,164,0.244,ok,179
Nuwara Eliya,Lover's Leap Falls,safety,Safety,18,3,11,21,0.857,ok,179
Nuwara Eliya,Lover's Leap Falls,scenery,Scenery & Nature,31,209,72,240,0.129,ok,179
Nuwara Eliya,Lover's leap waterfall,roads_access,Roads & Access,28,72,95,100,0.28,ok,198
Nuwara Eliya,Lover's leap waterfall,safety,Safety,15,2,8,17,0.882,ok,198
Nuwara Eliya,Lover's leap waterfall,scenery,Scenery & Nature,16,147,58,163,0.098,ok,198
Nuwara Eliya,Mohini Falls,roads_access,Roads & Access,6,17,34,23,0.261,ok,64
Nuwara Eliya,Mohini Falls,scenery,Scenery & Nature,4,39,25,43,0.093,ok,64
Nuwara Eliya,Moon plains,crowd,Crowding & Noise,3,7,10,10,0.3,low,506
Nuwara Eliya,Moon plains,facilities,Facilities,14,11,28,25,0.56,ok,506
Nuwara Eliya,Moon plains,price_value,Price & Value,33,25,67,58,0.569,ok,506
Nuwara Eliya,Moon plains,roads_access,Roads & Access,71,84,160,155,0.458,ok,506
Nuwara Eliya,Moon plains,safety,Safety,13,1,6,14,0.929,low,506
Nuwara Eliya,Moon plains,scenery,Scenery & Nature,14,368,95,382,0.037,ok,506
Nuwara Eliya,Mooray falls,roads_access,Roads & Access,8,1,8,9,0.889,low,29
Nuwara Eliya,Mooray falls,scenery,Scenery & Nature,2,19,14,21,0.095,ok,29
Nuwara Eliya,Mount vernon waterfall,roads_access,Roads & Access,4,1,2,5,0.8,low,12
Nuwara Eliya,Mount vernon waterfall,scenery,Scenery & Nature,3,7,3,10,0.3,low,12
Nuwara Eliya,Pedro Tea Factory,cleanliness,Cleanliness,12,9,1,21,0.571,ok,221
Nuwara Eliya,Pedro Tea Factory,crowd,Crowding & Noise,5,2,5,7,0.714,low,221
Nuwara Eliya,Pedro Tea Factory,facilities,Facilities,48,93,66,141,0.34,ok,221
Nuwara Eliya,Pedro Tea Factory,price_value,Price & Value,18,32,56,50,0.36,ok,221
Nuwara Eliya,Pedro Tea Factory,roads_access,Roads & Access,18,26,38,44,0.409,ok,221
Nuwara Eliya,Pedro Tea Factory,scenery,Scenery & Nature,4,121,7,125,0.032,ok,221
Nuwara Eliya,Shanthipura view point,cleanliness,Cleanliness,6,1,1,7,0.857,low,162
Nuwara Eliya,Shanthipura view point,crowd,Crowding & Noise,1,4,1,5,0.2,low,162
Nuwara Eliya,Shanthipura view point,facilities,Facilities,6,3,14,9,0.667,low,162
Nuwara Eliya,Shanthipura view point,price_value,Price & Value,9,1,19,10,0.9,low,162
Nuwara Eliya,Shanthipura view point,roads_access,Roads & Access,7,10,41,17,0.412,ok,162
Nuwara Eliya,Shanthipura view point,scenery,Scenery & Nature,22,83,58,105,0.21,ok,162
Nuwara Eliya,Single tree hill,crowd,Crowding & Noise,0,11,0,11,0.0,low,174
Nuwara Eliya,Single tree hill,roads_access,Roads & Access,16,65,64,81,0.198,ok,174
Nuwara Eliya,Single tree hill,scenery,Scenery & Nature,9,136,27,145,0.062,ok,174
Nuwara Eliya,St Clair's Falls,facilities,Facilities,3,14,10,17,0.176,ok,139
Nuwara Eliya,St Clair's Falls,price_value,Price & Value,1,4,1,5,0.2,low,139
Nuwara Eliya,St Clair's Falls,roads_access,Roads & Access,6,65,51,71,0.085,ok,139
Nuwara Eliya,St Clair's Falls,scenery,Scenery & Nature,12,177,48,189,0.063,ok,139
Nuwara Eliya,Swarnagiri maha viharaya,crowd,Crowding & Noise,1,8,0,9,0.111,low,61
Nuwara Eliya,Swarnagiri maha viharaya,roads_access,Roads & Access,1,6,8,7,0.143,low,61
Nuwara Eliya,Swarnagiri maha viharaya,scenery,Scenery & Nature,1,49,13,50,0.02,ok,61
Nuwara Eliya,Victoria Park of Nuwara Eliya,cleanliness,Cleanliness,30,26,10,56,0.536,ok,180
Nuwara Eliya,Victoria Park of Nuwara Eliya,crowd,Crowding & Noise,0,31,11,31,0.0,ok,180
Nuwara Eliya,Victoria Park of Nuwara Eliya,facilities,Facilities,9,16,18,25,0.36,ok,180
Nuwara Eliya,Victoria Park of Nuwara Eliya,price_value,Price & Value,41,23,64,64,0.641,ok,180
Nuwara Eliya,Victoria Park of Nuwara Eliya,roads_access,Roads & Access,5,23,20,28,0.179,ok,180
Nuwara Eliya,Victoria Park of Nuwara Eliya,safety,Safety,4,2,0,6,0.667,low,180
Nuwara Eliya,Victoria Park of Nuwara Eliya,scenery,Scenery & Nature,4,78,8,82,0.049,ok,180
Polonnaruwa,Polonnaruwa,cleanliness,Cleanliness,6,8,3,14,0.429,low,257
Polonnaruwa,Polonnaruwa,crowd,Crowding & Noise,6,19,11,25,0.24,ok,257
Polonnaruwa,Polonnaruwa,facilities,Facilities,25,106,107,131,0.191,ok,257
Polonnaruwa,Polonnaruwa,price_value,Price & Value,35,14,59,49,0.714,ok,257
Polonnaruwa,Polonnaruwa,roads_access,Roads & Access,25,47,105,72,0.347,ok,257
Polonnaruwa,Polonnaruwa,safety,Safety,11,4,12,15,0.733,ok,257
Polonnaruwa,Polonnaruwa,scenery,Scenery & Nature,5,112,8,117,0.043,ok,257
Ratnapura,Batadobalena,roads_access,Roads & Access,6,9,18,15,0.4,ok,37
Ratnapura,Batadobalena,scenery,Scenery & Nature,0,13,2,13,0.0,low,37
Ratnapura,Bopath Falls,cleanliness,Cleanliness,17,11,8,28,0.607,ok,267
Ratnapura,Bopath Falls,crowd,Crowding & Noise,7,15,14,22,0.318,ok,267
Ratnapura,Bopath Falls,facilities,Facilities,8,16,25,24,0.333,ok,267
Ratnapura,Bopath Falls,price_value,Price & Value,2,5,24,7,0.286,low,267
Ratnapura,Bopath Falls,roads_access,Roads & Access,22,21,56,43,0.512,ok,267
Ratnapura,Bopath Falls,safety,Safety,31,7,14,38,0.816,ok,267
Ratnapura,Bopath Falls,scenery,Scenery & Nature,18,192,58,210,0.086,ok,267
Ratnapura,Dehena Ella,roads_access,Roads & Access,2,27,29,29,0.069,ok,56
Ratnapura,Dehena Ella,scenery,Scenery & Nature,2,38,16,40,0.05,ok,56
Ratnapura,Delgamuwa Rajamaha Viharaya,crowd,Crowding & Noise,0,9,2,9,0.0,low,13
Ratnapura,Diva Guhawa,scenery,Scenery & Nature,2,6,2,8,0.25,low,20
Ratnapura,Katugas Ella Waterfall,cleanliness,Cleanliness,7,2,3,9,0.778,low,58
Ratnapura,Katugas Ella Waterfall,crowd,Crowding & Noise,0,9,5,9,0.0,low,58
Ratnapura,Katugas Ella Waterfall,roads_access,Roads & Access,3,9,13,12,0.25,low,58
Ratnapura,Katugas Ella Waterfall,safety,Safety,3,3,1,6,0.5,low,58
Ratnapura,Katugas Ella Waterfall,scenery,Scenery & Nature,4,37,12,41,0.098,ok,58
Ratnapura,Kirindi Ella Waterfall,cleanliness,Cleanliness,4,3,1,7,0.571,low,93
Ratnapura,Kirindi Ella Waterfall,roads_access,Roads & Access,12,15,51,27,0.444,ok,93
Ratnapura,Kirindi Ella Waterfall,safety,Safety,7,1,3,8,0.875,low,93
Ratnapura,Kirindi Ella Waterfall,scenery,Scenery & Nature,8,67,42,75,0.107,ok,93
Ratnapura,Mapalana Ella Falls,roads_access,Roads & Access,4,9,10,13,0.308,low,54
Ratnapura,Mapalana Ella Falls,safety,Safety,3,3,1,6,0.5,low,54
Ratnapura,Mapalana Ella Falls,scenery,Scenery & Nature,1,36,15,37,0.027,ok,54
Ratnapura,Marakkala Ella,scenery,Scenery & Nature,1,6,1,7,0.143,low,8
Ratnapura,Minee Ella,roads_access,Roads & Access,2,10,8,12,0.167,low,29
Ratnapura,Minee Ella,scenery,Scenery & Nature,1,27,5,28,0.036,ok,29
Ratnapura,Pothgul Vihara,scenery,Scenery & Nature,0,6,0,6,0.0,low,12
Ratnapura,Rajanawa Waterfall,roads_access,Roads & Access,1,7,8,8,0.125,low,23
Ratnapura,Rajanawa Waterfall,scenery,Scenery & Nature,0,14,9,14,0.0,low,23
Ratnapura,Rathnapura National Museum,scenery,Scenery & Nature,0,7,0,7,0.0,low,8
Ratnapura,Sri Maha Viharaya,crowd,Crowding & Noise,0,5,0,5,0.0,low,16
Ratnapura,Sri Maha Viharaya,scenery,Scenery & Nature,0,7,0,7,0.0,low,16
Ratnapura,Sri Sumana Saman Devalaya,crowd,Crowding & Noise,1,23,7,24,0.042,ok,57
Ratnapura,Sri Sumana Saman Devalaya,scenery,Scenery & Nature,0,8,2,8,0.0,low,57
Ratnapura,Thepulangoda Waterfall,scenery,Scenery & Nature,0,6,1,6,0.0,low,12
Ratnapura,Udawalawe National Park,cleanliness,Cleanliness,6,5,2,11,0.545,low,136
Ratnapura,Udawalawe National Park,crowd,Crowding & Noise,1,15,11,16,0.062,ok,136
Ratnapura,Udawalawe National Park,facilities,Facilities,9,98,50,107,0.084,ok,136
Ratnapura,Udawalawe National Park,price_value,Price & Value,15,22,24,37,0.405,ok,136
Ratnapura,Udawalawe National Park,roads_access,Roads & Access,18,72,72,90,0.2,ok,136
Ratnapura,Udawalawe National Park,safety,Safety,5,2,8,7,0.714,low,136
Ratnapura,Udawalawe National Park,scenery,Scenery & Nature,3,149,28,152,0.02,ok,136
Ratnapura,Waranagala waterfall,scenery,Scenery & Nature,0,8,2,8,0.0,low,11
Trincomalee,Koneswaram Temple,cleanliness,Cleanliness,6,10,4,16,0.375,ok,206
Trincomalee,Koneswaram Temple,crowd,Crowding & Noise,1,26,7,27,0.037,ok,206
Trincomalee,Koneswaram Temple,facilities,Facilities,10,21,40,31,0.323,ok,206
Trincomalee,Koneswaram Temple,price_value,Price & Value,6,10,14,16,0.375,ok,206
Trincomalee,Koneswaram Temple,roads_access,Roads & Access,7,31,55,38,0.184,ok,206
Trincomalee,Koneswaram Temple,safety,Safety,1,4,2,5,0.2,low,206
Trincomalee,Koneswaram Temple,scenery,Scenery & Nature,5,237,12,242,0.021,ok,206
Trincomalee,Marble Beach,cleanliness,Cleanliness,12,49,6,61,0.197,ok,127
Trincomalee,Marble Beach,crowd,Crowding & Noise,8,34,23,42,0.19,ok,127
Trincomalee,Marble Beach,facilities,Facilities,27,49,29,76,0.355,ok,127
Trincomalee,Marble Beach,price_value,Price & Value,7,17,34,24,0.292,ok,127
Trincomalee,Marble Beach,roads_access,Roads & Access,9,18,26,27,0.333,ok,127
Trincomalee,Marble Beach,safety,Safety,1,7,1,8,0.125,low,127
Trincomalee,Marble Beach,scenery,Scenery & Nature,2,48,5,50,0.04,ok,127
Trincomalee,Nilaveli Beach,cleanliness,Cleanliness,35,70,15,105,0.333,ok,147
Trincomalee,Nilaveli Beach,crowd,Crowding & Noise,2,51,17,53,0.038,ok,147
Trincomalee,Nilaveli Beach,facilities,Facilities,14,23,29,37,0.378,ok,147
Trincomalee,Nilaveli Beach,price_value,Price & Value,2,5,10,7,0.286,low,147
Trincomalee,Nilaveli Beach,roads_access,Roads & Access,3,8,17,11,0.273,low,147
Trincomalee,Nilaveli Beach,safety,Safety,6,12,4,18,0.333,ok,147
Trincomalee,Nilaveli Beach,scenery,Scenery & Nature,5,92,5,97,0.052,ok,147
