destination,district,lat,lon,osm_type,display_name,licence
Gregory Lake,Nuwara Eliya,6.9537634,80.7795416,bus_stop,"Gregory Lake, Abhayapura Road, Kalukele, Nuwara Eliya, Nuwara Eliya District, Central Province, 10000, Sri Lanka","OpenStreetMap contributors, ODbL"
Japanese Peace Pagoda - Rumassala,Galle,6.0158561,80.2379092,religious,"Japanese Peace Pagoda, Unawatuna, Rumassala, Galle District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Jaffna Fort,Jaffna,9.6623353,80.0081655,ruins,"Jaffna Fort, Main Street, Jaffna, Jaffna District, Northern Province, 40000, Sri Lanka","OpenStreetMap contributors, ODbL"
Devon Falls,Nuwara Eliya,6.9515033,80.6301127,attraction,"Devon Falls, Nawalapitiya-Dimbula Road, Mount Vernon, Dimbula, Nuwara Eliya District, Central Province, 22000, Sri Lanka","OpenStreetMap contributors, ODbL"
Richmond Castle,Kalutara,6.6016907,79.9751218,castle,"Richmond Castle, Palathota-Kethhena Road, Kalutara, Kalutara DS Division, Kalutara District, Western Province, 12000, Sri Lanka","OpenStreetMap contributors, ODbL"
Lover's leap waterfall,Nuwara Eliya,6.9784844,80.7867203,waterfall,"Lover's Leap Waterfall, Nuwara Eliya, Nuwara Eliya District, Central Province, 22200, Sri Lanka","OpenStreetMap contributors, ODbL"
Lipton�s Seat,Badulla,6.7806643,81.0155075,viewpoint,"Lipton's seat, Lipton's Seat Road, Maousakelie, Bandara Eliya, Badulla District, Uva Province, 19160, Sri Lanka","OpenStreetMap contributors, ODbL"
Ruwanwelisaya,Anuradhapura,8.3500003,80.396397,place_of_worship,"Ruwanwelisaya Dagoba, Abhayawewa Road, Sacred City, Thisawewa, Anuradhapura, Anuradhapura District, North Central Province, 50000, Sri Lanka","OpenStreetMap contributors, ODbL"
Bentota Beach,Galle,6.4290746,79.9943317,beach,"Bentota, Galle District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Nallur Kovil,Jaffna,9.6628847,80.0252062,association,"Sri Lanka Red Cross Society-District Branch, Kovil Road, S.T. Parameswaran Co.(Pvt), Thirunelvely, Nallur, Jaffna District, Northern Province, 40000, Sri Lanka","OpenStreetMap contributors, ODbL"
Casino Marina Colombo,Colombo,6.9067605,79.850124,casino,"Casino Marina Colombo + Jims Pokerroom, 14th Lane, Bambalapitiya, Slave Island, Colombo, Colombo District, Western Province, 00300, Sri Lanka","OpenStreetMap contributors, ODbL"
Guruge Park,Gampaha,7.0672982,79.9013432,park,"Guruge Nature Park, 266, Weligampitiya, Ja-ela, Gampaha District, Western Province, 11350, Sri Lanka","OpenStreetMap contributors, ODbL"
Kalutara Beach,Kalutara,6.5894861,79.9542019,beach,"Calido beach Kalutara, Kalutara, Kalutara DS Division, Kalutara District, Western Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Madunagala Hot Water Spring,Hambantota,6.2536639,80.982025,spring,"Madunagala Hot Water Springs, Southern Expressway, Madunagala, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
