destination,district,lat,lon,osm_type,display_name,licence
Matara Beach Park,Matara,5.9420401,80.5559642,park,"Beach Park, Uyanwaththa, Weliweriya (SP), Matara, Matara District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Rumassala Sanctuary,Galle,6.0098779,80.2461967,massage,"The Sanctuary, Welle Devala Road, Unawatuna, Rumassala, Galle District, Southern Province, 80600, Sri Lanka","OpenStreetMap contributors, ODbL"
Jodu ella water falls,Matale,7.4004888,80.775762,waterfall,"Jodu Ella Water Falls, Goomaraya, Kandy District, Central Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Badulla Dutch Fort,Badulla,6.9912248,81.0540103,archaeological_site,"Dutch Fort, Keppettipola Road, Andeniya, Badulla, Badulla District, Uva Province, 90000, Sri Lanka","OpenStreetMap contributors, ODbL"
Rekawa Turtle Beach,Hambantota,6.0451159,80.8579818,restaurant,"Turtle Beach Restaurant, Netolpitiya - Rekawa Road, Rekawa, Hambantota District, Southern Province, 82135, Sri Lanka","OpenStreetMap contributors, ODbL"
Pareiyan Ella Falls,Badulla,6.8499267,81.2373371,waterfall,"Pareiyan Ella Falls, Athala, Monaragala District, Uva Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Colombo Port Maritime Museum,Colombo,6.9387589,79.8423942,museum,"Authority Maritime Museum, Port Access Elevated Highway, L B Gate, Fort, Slave Island, Colombo, Colombo District, Western Province, 10110, Sri Lanka","OpenStreetMap contributors, ODbL"
Hambantota Beach,Hambantota,6.0226458,80.800765,beach,"Paravi Wella Beach, Kotuwegoda, Tangalle, Hambantota District, Southern Province, Sri Lanka","OpenStreetMap contributors, ODbL"
Mount vernon waterfall,Nuwara Eliya,6.9495344,80.6384543,hotel,"The Waterfall Villas, Talawakelle Road, Mount Vernon, Talawakele, Nuwara Eliya District, Central Province, 22000, Sri Lanka","OpenStreetMap contributors, ODbL"
Sea corner,Ampara,7.2570876,80.5199671,supermarket,"Red Sea Spice Corner, 62, Colombo-Kandy Road, Illukwatte, Kadugannawa, Kandy District, Central Province, 20300, Sri Lanka","OpenStreetMap contributors, ODbL"
