media_id,kind,title,url,source_name,published,snippet,destination,district,aspects,match_method,collected_at
m_35ec5da154b62d,news,"I drove a tuk-tuk solo across Sri Lanka, and it gave me a new appreciation for slow travel - Condé Nast Traveller Middle East",https://news.google.com/rss/articles/CBMiwwFBVV95cUxOSEphMkFtWll1RW1FYndkRVlTcXpBYW1kWjV3bkZEMlJBWlAxRXA0NnhveXdsRzBia0RicmxpdjlsZ0d5djJfM1FLS0tuRlF4V0dPQW5DSzdLOE11d1VpZHpNSXVpNG9ySGdKdG9CRzkydDRSRVQ1bHFwMjlJOTIyT0N0NV9faVFuTkVMZE9ibkpmT2JKNklHdkxmQVViU09xcko2bTZnTUEzREdLTGNsNE5ucG0zTnJrVGZXWEFrVTliN00?oc=5,Condé Nast Traveller Middle East,"Mon, 29 Ju",,Laxapana waterfall,Nuwara Eliya,roads_access,search_query,2026-08-25
m_d446201d54eb76,news,Money Talks – What Does The Legal Tender Say About Sri Lanka? - Roar Media Archive,https://news.google.com/rss/articles/CBMirwFBVV95cUxPZjkyMDJYYUJELUhsbl9tX1EwSWxNWjctekV0SGpCVE1vMElvVVB2Znpxa2JIQXBWdzlLeHQyS2JrUGoyNzljMkdmYWltbXp5VUc1clFRQjQxYjJlM1NTaUREOWR3STRYUVhmV3lwZTlsdFB0TDVjTlY2bXdpMmYtQkpRZkhMUEl6U09PdUVzYV8zRktEcWV2Vkx4NGZPVXdHeDdXclNSNURoeHlBdVFB?oc=5,Roar Media Archive,"Wed, 29 No",,Laxapana waterfall,Nuwara Eliya,price_value,search_query,2026-08-25
m_32b5928828fd87,news,"Our Heritage - The Sunday Times, Sri Lanka",https://news.google.com/rss/articles/CBMia0FVX3lxTE5kOF9ZOHlQc0RVQUNCTFFKVFp2ZlFrZ0VnUmRVb3YxWVhWa19lRzJ6aFN3NVB1VkN3Nm9rQXNXNGRPV0xwdVRSZmt4eGlZSlQ0OTFkV0ZkTFBPNUItOXNwRzlpdkFFWDFZRmZz?oc=5,"The Sunday Times, Sri Lanka","Wed, 30 Ju",,Laxapana waterfall,Nuwara Eliya,,search_query,2026-08-25
m_ec677dad5de74d,news,Alien Invasion: Protecting biodiversity by controlling invasive species in Sri Lanka - Home | GEF,https://news.google.com/rss/articles/CBMiqAFBVV95cUxPR3R3N3VIV0JvUzlsQ2VRLVg3dm5Oc0E0X3c3eFo5MkJkVHdVTmxySmI4MUdIMXFWaHFiMEVDRUVxSXA4Z21qOHgtUE9wT2xEaERORFphQ3Fkd2tjVnhTcXhYTEhlaU00MkdEaElsdWt4Tkc1VVZiT0txQ3NZQlpjWnZqUE9seGUzZFA1NnB2X0dGUF9UR09zQUo2RDFKcVM0OFd5YnRGWks?oc=5,Home | GEF,"Mon, 17 Ju",,Bundala National Park,Hambantota,,search_query,2026-08-25
m_396de9328aa035,news,"In lockdown’s calm, glossy ibis finds prime nesting conditions in Sri Lanka - Mongabay",https://news.google.com/rss/articles/CBMirAFBVV95cUxNVW5ZUGI3TDNuczZaclE1b0liNEVTUWxUNWVaRE1FUnQ0NHU3MnNrSmlSVnkxcWZPaE02cFRQeVNUbnFwS2M5aENQUG9wcnBkYVk5OXpYNHZkWndXLTVDY1hiZFZLSW52aTVHTUdlN3BoMTJhdmc1a2E1aDUyN3Zqc2d4eUVIeUhMS1BSQjhmTUtFNTZMZzAtMW5RdnRqRFdmVzFVbkdYbjdOckZ30gGyAUFVX3lxTE5seFprbE9WYXBLM1c0Sl9RdWduN3paa0otT1NmaDZrdC0zd2FIVW5ZNy01ME5EUEVDM2hKUGhNMi04em16VThud0F6LXlrbDhRdDYxVTB4X3NibnlqLTdlTU5rVmItRlZNUDMzMGZfd09TV0FTSTZ4NElhV3pHb0w4UkVNMEFNVFcxMTJuT1JqMmMxaFN5M0R5VlZmVi1Pd3F5cmtmOVBKUmQxWms3eTlvdGc?oc=5,Mongabay,"Mon, 08 Ju",,Bundala National Park,Hambantota,crowd,search_query,2026-08-25
m_f0432e11fee739,news,10 safaris in Sri Lanka that are a nature lover's paradise - The Times of India,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNVC1qMjRsWjltZEtubW1lNTRGWGY1bjhrbVVuM2hBMV9EUWgxSW5xYnk0c05KSkNURXpJUFJRX1lEQkgwV3BzNWpsWlNTck1EbXVmWTRmYk9UTXVkX0tLNmZMaGh6V2lveFBxek9tYXJPd1BGUDBVcDFKTmNMaGpIT0xJbnRQMlFiTXI4WmxUSmM1TEQ0dFBQUzJSNm42V0xvMUxCNlQxaG0yUi1rbTVUR3lyV1ZRMGJUMlJvTTd2YUlYaVpJRVJ4RnRXd3ZIWnJ1WU9z0gHTAUFVX3lxTE1ULWoyNGxaOW1kS25tbWU1NEZYZjVuOGttVW4zaEExX0RRaDFJbnFieTRzTkpKQ1RFeklQUlFfWURCSDBXcHM1amxaU1NyTURtdWZZNGZiT1RNdWRfS0s2ZkxoaHpXaW94UHF6T21hck93UEZQMFVwMUpOY0xoakhPTEludFAyUWJNcjhabFRKYzVMRDR0UFBTMlI2bjZXTG8xTEI2VDFobTJSLWttNVRHeXJXVlEwYlQyUm9NN3ZhSVhpWklFUnhGdFd3dkhacnVZT3M?oc=5,The Times of India,"Mon, 01 Se",,Bundala National Park,Hambantota,scenery,search_query,2026-08-25
m_16265733094ac1,news,"Peradeniya Gardens recovery could cost Rs 120m - The Sunday Times, Sri Lanka",https://news.google.com/rss/articles/CBMingFBVV95cUxNZ3FPemFsNnNVdXUzSUtNRjRTY1RIZVhOYXJleUJNRHp2c3FZX3dhWUpiaTdYTmpPRWhJU1J2QkY4UEphX3g3N2ljZFZrZmRjS09CLWhrQk91WlJYY2xwT0FGcVM3SGVwV3Q4NTZRMkw5YlBRZkw3YXBubTZieFRVTlNCMGw1UVR3X3ZyZGdCYVMxb2UzZ19WT2ZPTTY5UQ?oc=5,"The Sunday Times, Sri Lanka","Sun, 14 De",,Royal Botanical Gardens,Kandy,price_value,search_query,2026-08-25
m_c1d659c5e10f56,news,New Electric Vehicle Fleet Introduced at Peradeniya Botanical Gardens - Newswire,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOVlFXaTNVeHRnQjlmZnVaa1hta192X1F6SnFUUkpPZldCUHFTYlF5NjFEUl92cl9TOTN4ZDNiMVZmMG9keVEtNWJzZFM0Vy1Gc19rVTl5SjRXSzlqVG8ydllTRWxZcXduSHBoMnZCc0pnRldOQXc0dWtrVTZIZ05sS0wyUnNoYll6RjlOY2JKMDRxbTFvSEVsdWQyNF96UDlZQVlWZTBlNjc?oc=5,Newswire,"Mon, 08 Ju",,Royal Botanical Gardens,Kandy,,search_query,2026-08-25
m_641439b3d9c5f6,news,The Royal Botanical Garden Kandy - Daily Mirror - Sri Lanka,https://news.google.com/rss/articles/CBMigAFBVV95cUxNYnZvY1huREk4b0liUUVxMGNxYTRJLXNGT1JHZWFPMzJhYXFiVGdmRmNzM1hNSWxwR1I0dzZTX1VqaGxIN0tOOVJwQm4zQU1fWU1Ya2xkRWZtQUxvcEZjNXRZQkJuUmhWSGNGYzk3V3dvY05kOHJoSGliNWhQREVPSA?oc=5,Daily Mirror - Sri Lanka,"Fri, 14 No",,Royal Botanical Gardens,Kandy,,search_query,2026-08-25
m_0a98bcbe78fa25,news,Polonnaruwa Air Quality Index (AQI) and Sri Lanka Air Pollution | IQAir Singapore - IQAir,https://news.google.com/rss/articles/CBMifEFVX3lxTE1tV0ZQNTRnNEZkaXc3MGhjSUlQSnN3ZXRWN0sxaURfYlpsMXZkOVpmakpPczcyVWZNQlpOeEJ5ZDNKREVHZFphM0ZVdDdDR2d2VVI4dURGVzl2TktVYnlDSXdLaFVIZUFoaXFQVE85WVZURlRsRzdrRi1qU2g?oc=5,IQAir,"Sat, 18 Ju",,Polonnaruwa,Polonnaruwa,cleanliness,search_query,2026-08-25
m_8f2874ab74bc0f,news,"How ancient Sri Lanka managed monsoon flooding—storage systems, embankments, cascading tanks - ThePrint",https://news.google.com/rss/articles/CBMingFBVV95cUxNRlVRWnlqdkU5YUlJX2pzOHAxX09xWUs1RFJva1B3elBQVmJ0aV9taUQ5MlNCQXJGTS1WMkVrQTIzYTBvUHBuWmQ0ZXBsSzNfdklyYWQ1cTBiTDVET3dCeDhpbW1MUEZ6RWIxNzhRamZNSHpHSTIzRFVxcU9DU2tDR042NWYzeWQzRVJITXB5V19Zbk1wOGp3SzJKMjR0UdIBowFBVV95cUxOMUEzalFoWU5BbHBqanBranN5MENjVlBCSUI4cmpPWXZfLUpybWpXV1ZxaW1sd3NXb0RZNHJOa2xKLWNSSS1MSE9wdy1nV3RJZTQ0NVdidlRhak5xTV9PLWYydWlWaHhNU1B3UkdFNWVqSWFoRjFzNmZwMGhERmMwcXdBRDhUUVZHNzRrS215NkhtV2pQaURueWUxc0JLbElQRUpJ?oc=5,ThePrint,"Mon, 10 Au",,Polonnaruwa,Polonnaruwa,,search_query,2026-08-25
m_a84428e24df78e,news,Polonnaruwa Air Quality Index (AQI) and Sri Lanka Air Pollution - IQAir,https://news.google.com/rss/articles/CBMieEFVX3lxTE9FOUdTR2dWUEFaZzN4QURJbW9lR2dlQVhUYWY5MTlOajVtRkJxQURVQ2lZdmhrVEdqUUV5VnU5U19GTXVfaHZFQ0RDWEd4em1DTy1LSDlnbXo3MnFIV0FrY19oN19DQUJrWHo4VE5FbThEbHNXSFlaeQ?oc=5,IQAir,"Thu, 25 Ju",,Polonnaruwa,Polonnaruwa,cleanliness,search_query,2026-08-25
m_e46a9e71fe0e83,news,"As Sri Lanka braces for El Niño, national parks are a concern amidst encroachment - Mongabay",https://news.google.com/rss/articles/CBMitgFBVV95cUxQc3V1b3FhZGFraVdrbVd5ZWU5YkxWTkhabS1KSE05ZHlXR3A3bVVpYW93TUZycnlkVWUzSVc4ZHQxZEc4ZGg3MnVDcmVzOER5SGVaZTJseUFnNGdNV0JrVXhVcjZON28zYXlkMk5WV0xSd0luS3FYWDl4V3lIc3lxQ2tqWldsc3ZYUDB4LXRCRk4teG5vX3VBeHFDczNkSG1tSHRsR1FwOWI1OXVwOU9WRHY0cEU1QdIBuwFBVV95cUxOMFplV0NyODF3TGhSbFJGZktPWnNObGlNZmFOTWgxbUxEMmFzSTFHT3h6Y3AwcWQ0ZjA5RjZaLUhJc2ZzbDFIb19qSnVhQWd2dy1FVkE0QXN6U1Q4R1JpQUNMSXJfVUdIWmRvS3YtSDd3MjZnNmJXNFMxMmJTNWg2TTctWWZYUklPSEZlYmJ6aVgxRzFaTlY1VWVCVWVIeUs3RVF6TWVBOFFiMExCdF82Q2xuQ2EzWEl6WVg4?oc=5,Mongabay,"Tue, 21 Ju",,Wilpattu National Park,Anuradhapura,,search_query,2026-08-25
m_bdc91e0fa0515b,news,Sri Lanka Catholics seek access to forest shrine - ucanews.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxOT19GMjRleVN6RmZ6WU5aMlAzclNkbEFXTXJ6eHRxZl9CRXNDYTFJRGkzU241ZjhKanZNRDh5bGNpbldyd1ZBV2x3ODRtbmY4dHh5aFBhS2REQ0RVS05RS19rOFlqWEYtVkdhaU1BcEdNcnM0MmZwX2ZMbGtqYVpGU285ZWZVREJiN2F3X9IBiwFBVV95cUxQdldIa25ndjJJb2pPRHlmazc5VFBtUXM4b3d4NkRvZ2hCa2FfRTFZTVVOUy1QVEZkVFdHdkhqaFI1NE9CQWlBTV9jc1pFZVFiTVBVY25TSmI2Z0lYLVZ4UDJhTTA2dTFpVm13ZUE2QkZJU3Y4QTVxVlBYRExMMlhHVS02LVhrMGlyeTNB?oc=5,ucanews.com,"Thu, 09 Ju",,Wilpattu National Park,Anuradhapura,roads_access|scenery,search_query,2026-08-25
m_ee8751de57b2f9,news,"There’s a huge and ancient lake in Sri Lanka built by a king, where hundreds of giant beasts gather every year - BBC Wildlife Magazine",https://news.google.com/rss/articles/CBMimgFBVV95cUxNXzYzZnBGTU5hODh5M29CU3pGaGpETVRBWFZFcE9HN2RDQzJZX3dseEd5VTJDeUpnd2FpX2tJdzdzaU1hOU5mR0J6ODJEVDU2WmpjbU5KTzhCOHJoUlhYLWtHWXhNa3dNWTF2VEpCV3E2TUg2X3dpZ1BZUnViN0xOUkhDNUl6Ym8xaUZrV0xhSTY0bE5NTFpJQTZB?oc=5,BBC Wildlife Magazine,"Tue, 21 Oc",,Wilpattu National Park,Anuradhapura,scenery,search_query,2026-08-25
m_8a88bae6b3958b,news,Sara Ali Khan Visits Dambulla Cave Temple That Houses A 46-Foot Reclining Buddha: Know The Story - News18,https://news.google.com/rss/articles/CBMi6gFBVV95cUxQc0sycmU2ZVNtdEYxQUFsVVlwVDJzRThOcE1kUHl6dXRETkVxaXV3NXlqb1AxVG9Pb1hwWmpoN2JIMFFtdE9USG5MWlM5TGRUTXlBd2hLdmRuMHZFUi1zaGdtWHRKLXNjaHFxQlpibjhJNU9GaWh0VThWb0d3Z0VUNE5pc1pUSjcxcXdXdlNOYmxhTlIwOEM2cmNRM29sV2RtcF9SWktNUmtScTlVNHZjdVYzYkl6b2VNV2daZXFrVEc1X1VnNFNxTVA4SGN0TTc0WjNGZlUweExhQmlKUHlKQXBCNkpMMTd0LUHSAe8BQVVfeXFMUGJ2VUZtZjM3MkpibnR3TEJiRmFheTdvbkhLWloyMkdlelRHd2FBT1lxOWZRWU1DbEFnMWdBNHoxLWNhR19ENmNUcUp3Nkg5UFZSeW1ac21SU0tMLWhSTnFWeV9rQTJjNkZSdkJ5ZDd6MTdTOHdkZW8tX0wzcmMwb29TTWRLalk0b1J4cGRzYUNXbGpsbTN1WThGMHR6RlZieGxlM1NrX2thbm96LTFkX2o3VS1ReUZJdVBMTU1JVnFSU09KNkZ2dWptUElWamUxV2U2UE11Y2tKdFliQWhzMXpqSlpwUGhVdkFOeUdVWUE?oc=5,News18,"Tue, 18 Au",,Dambulla Cave Temple,Anuradhapura,,search_query,2026-08-25
