name,category,is_veg,meal_time,spicy_level,price_range
Biryani,Main Meals,FALSE,Lunch/Dinner,Medium,High
Vegetable Fried Rice,Main Meals,TRUE,Lunch/Dinner,Medium,Medium
Chicken Fried Rice,Main Meals,FALSE,Lunch/Dinner,Medium,Medium
Egg Fried Rice,Main Meals,FALSE,Lunch/Dinner,Medium,Medium
Seafood Fried Rice,Main Meals,FALSE,Lunch/Dinner,Medium,High
Mixed Fried Rice,Main Meals,FALSE,Lunch/Dinner,Medium,High
Chopsuey Rice,Main Meals,FALSE,Lunch/Dinner,Medium,High
Vegetable Kottu,Main Meals,TRUE,Lunch/Dinner,Medium,Medium
Chicken Kottu,Main Meals,FALSE,Lunch/Dinner,Medium,Medium
Egg Kottu,Main Meals,FALSE,Lunch/Dinner,Medium,Medium
Cheese Kottu,Main Meals,FALSE,Lunch/Dinner,Low,High
Dolphin Kottu,Main Meals,FALSE,Lunch/Dinner,Medium,Medium
Seafood Kottu,Main Meals,FALSE,Lunch/Dinner,Medium,High
String Hopper kottu,Main Meals,FALSE,Dinner,Medium,Medium
Watalappan,Desserts,TRUE,Any,None,Low
Curd and Treacle,Desserts,TRUE,Any,None,Low
Biscuit Pudding,Desserts,TRUE,Any,None,Low
Caramel Pudding,Desserts,TRUE,Any,None,Low
Kiri Toffee (Milk Toffee),Desserts,TRUE,Any,None,Low
Pol Toffee (Coconut Toffee),Desserts,TRUE,Any,None,Low
Thala Bola (Sesame Seed bolls),Desserts,TRUE,Any,None,Low
Thala Karali (Sesame Seed Rolls),Desserts,TRUE,Any,None,Low
Wali thalapa,Desserts,TRUE,Any,None,Low
Lavariya,Desserts,TRUE,Any,None,Low
Helapa,Desserts,TRUE,Any,None,Low
Aggala,Desserts,TRUE,Any,Medium,Low
Aluwa,Desserts,TRUE,Any,None,Low
Athirasa,Desserts,TRUE,Any,None,Low
Kevum (Oil Cake),Desserts,TRUE,Any,None,Low
Aasmi,Desserts,TRUE,Any,None,Low
Kokis,Desserts,TRUE,Any,Low,Low
Dosi,Desserts,TRUE,Any,None,Low
Pani Walalu,Desserts,TRUE,Any,None,Low
Kalu Dodol,Desserts,TRUE,Any,None,Low
Coconut Cake,Desserts,TRUE,Any,None,Low
Butter Cake,Desserts,TRUE,Any,None,Low
Ribbon Cake,Desserts,TRUE,Any,None,Low
Jaggery,Desserts,TRUE,Any,None,Low
Spicy Cashew,Snacks,TRUE,Any,High,High
Ceylon Coffee,Drinks,TRUE,Any,None,Low
Iced Coffee,Drinks,TRUE,Any,None,Low
Ceylon Tea,Drinks,TRUE,Any,None,Low
Green Tea,Drinks,TRUE,Any,None,Low
Iced Tea,Drinks,TRUE,Any,None,Low
Milk Tea,Drinks,TRUE,Any,None,Low
Bubble Tea,Drinks,TRUE,Any,None,Medium
Masala chai,Drinks,TRUE,Any,Low,Low
Thambili (King Coconut),Drinks,TRUE,Any,None,Low
Koththamalli,Drinks,TRUE,Any,None,Low
Ginger Beer,Drinks,TRUE,Any,Low,Low
Mango Lassi,Drinks,TRUE,Any,None,Medium
Lemonade,Drinks,TRUE,Any,None,Low
Avocado Juice,Drinks,TRUE,Any,None,Medium
Falooda,Drinks,TRUE,Any,None,Medium
Hot Chocolate,Drinks,TRUE,Any,None,Medium
Soya Milk,Drinks,TRUE,Any,None,Low
